startTime;openPrice;highPrice;lowPrice;closePrice;volume;turnover
1729024200000;66663.2;66709.7;66452.0;66634.4;1845.326;122867510.5977
1729023300000;66917.4;66921.7;66511.1;66663.2;2748.11;183270849.1977
1729022400000;66957.1;67000.0;66843.0;66917.4;1252.818;83860979.6559
1729021500000;66892.9;67014.0;66813.3;66957.1;1474.602;98710417.8459
1729020600000;66783.9;66908.0;66587.4;66892.9;1357.057;90567237.6892
1729019700000;66840.5;66875.1;66664.1;66783.9;1527.46;101975976.9794
1729018800000;66902.0;67059.9;66571.7;66840.5;2698.726;180168743.7311
1729017900000;67145.0;67174.5;66893.6;66902.0;1113.456;74580277.3197
1729017000000;67082.3;67164.6;66923.6;67145.0;1648.864;110528584.3873
1729016100000;67100.2;67396.0;67032.7;67082.3;3410.63;229362525.5193
1729015200000;66807.1;67182.1;66750.0;67100.2;2595.828;174027210.7124
1729014300000;66955.4;66993.2;66762.9;66807.1;1684.254;112665448.1796
1729013400000;66609.9;67050.0;66516.0;66955.4;2307.002;154092475.7958
1729012500000;66840.0;66894.9;66515.6;66609.9;1858.658;123998876.8714
1729011600000;66866.0;67054.7;66449.8;66840.0;3615.441;241324449.5605
1729010700000;66944.9;67043.4;66660.5;66866.0;2949.339;197182787.9545
