actual,predicted
293.09999999999127,89.43056262730306
-17.89999999999418,104.9893850777228
62.69999999999709,47.95520008828797
-243.0,70.49577186307377
-61.5,36.07865157595552
-56.60000000000582,63.91708924326602
109.0,-4.613815883118065
64.20000000001164,-34.06147195595416
-39.70000000001164,-21.82108634683796
-254.1999999999971,-37.642603636307314
-28.80000000000291,-39.85167316440345
-190.79999999998836,-33.75154533923171
-49.70000000001164,-56.812451196945034
0.3000000000029104,-82.868525284373
-175.0,-94.63124589867465
195.3000000000029,-115.86055907759254
121.0,-41.77988388617672
276.0,-16.78032057372883
-34.39999999999418,61.628765339142774
-44.80000000000291,62.91434627545354
-51.5,57.37788817061541
88.80000000000291,76.69028554549686
243.0,59.888726456366044
44.79999999998836,78.87058866323795
-131.0,40.76627618881403
-136.1999999999971,24.879940712190574
113.60000000000582,9.906947072486247
-43.69999999999709,37.75512838136726
42.39999999999418,14.778657429337713
567.6000000000058,-18.50352685898642
-253.20000000001164,68.23160620764014
150.70000000001164,48.47410728794148
108.59999999999127,96.69566379703679
-164.3000000000029,94.3863168785786
8.80000000000291,77.45845119123351
-41.5,68.22695801712797
-92.19999999999709,-31.31630645735931
-50.0,-4.5450778760173876
-22.30000000000291,-39.03861258310443
-25.80000000000291,-59.97170698871035
119.30000000000291,-37.20135280920459
-170.5,-18.935512721254526
-77.89999999999418,-40.35606659471378
22.19999999999709,-37.489426434949166
6.80000000000291,-26.15528165709116
181.6999999999971,-20.44805454564674
114.39999999999418,12.974468282805532
-84.89999999999418,12.52131746045589
68.10000000000582,27.308211581993945
-269.3000000000029,51.31404791941003
119.59999999999127,3.104569529451169
-80.89999999999418,22.161268432203826
-247.5,-23.077581717370947
79.89999999999418,-81.46127041319517
-15.799999999988358,-55.99430836417926
108.79999999998836,-68.48162624409876
45.40000000000873,-5.976639495638935
141.6999999999971,-19.291019863864896
48.10000000000582,19.412098416350233
-79.90000000000873,67.57713322551893
74.30000000000291,41.81370374186854
57.39999999999418,56.293034957968786
132.0,47.962021004622855
31.70000000001164,62.315001249132735
204.09999999999127,43.413301428511616
34.80000000000291,70.25113825654779
-90.5,88.74035169397398
162.5,62.08847345427205
67.60000000000582,78.79333896172393
327.79999999998836,68.62288815051217
137.10000000000582,117.67243680311441
-373.1000000000058,105.65580366819012
46.10000000000582,39.45043708822624
67.5,61.38437368680479
-114.69999999999709,45.784063039734605
-59.0,15.675373421372342
-48.10000000000582,-50.59777259062056
63.19999999999709,-79.68093366289557
-625.0999999999913,-7.211649272718134
160.0,-119.66444935178981
497.3999999999942,-103.2303407777361
-137.5,-3.2541103447907744
-267.5,-14.25704486485472
189.6999999999971,-52.96245635649905
49.40000000000873,-29.610116278787245
256.1999999999971,82.7419953238469
-102.10000000000582,97.20534526775063
-124.0,-3.103928850309444
-53.5,1.77856729582777
-13.0,35.5822908136803
-105.89999999999418,2.964910581380728
239.5,-24.29070221062966
-19.39999999999418,-26.646047024103098
46.89999999999418,-13.167919500724736
135.5,16.257620736835676
